Protein	Protein ID	Entry Name	Gene	Protein Length	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Combined Total Peptides	Combined Spectral Count	Combined Unique Spectral Count	Combined Total Spectral Count	NaS_1 Spectral Count	NaS_2 Spectral Count	NaS_3 Spectral Count	LMWPE_biofilm_1 Spectral Count	LMWPE_biofilm_2 Spectral Count	LMWPE_biofilm_3 Spectral Count	LMWPE_1 Spectral Count	LMWPE_2 Spectral Count	LMWPE_3 Spectral Count	NaS_1 Unique Spectral Count	NaS_2 Unique Spectral Count	NaS_3 Unique Spectral Count	LMWPE_biofilm_1 Unique Spectral Count	LMWPE_biofilm_2 Unique Spectral Count	LMWPE_biofilm_3 Unique Spectral Count	LMWPE_1 Unique Spectral Count	LMWPE_2 Unique Spectral Count	LMWPE_3 Unique Spectral Count	NaS_1 Total Spectral Count	NaS_2 Total Spectral Count	NaS_3 Total Spectral Count	LMWPE_biofilm_1 Total Spectral Count	LMWPE_biofilm_2 Total Spectral Count	LMWPE_biofilm_3 Total Spectral Count	LMWPE_1 Total Spectral Count	LMWPE_2 Total Spectral Count	LMWPE_3 Total Spectral Count	NaS_1 Intensity	NaS_2 Intensity	NaS_3 Intensity	LMWPE_biofilm_1 Intensity	LMWPE_biofilm_2 Intensity	LMWPE_biofilm_3 Intensity	LMWPE_1 Intensity	LMWPE_2 Intensity	LMWPE_3 Intensity	NaS_1 MaxLFQ Intensity	NaS_2 MaxLFQ Intensity	NaS_3 MaxLFQ Intensity	LMWPE_biofilm_1 MaxLFQ Intensity	LMWPE_biofilm_2 MaxLFQ Intensity	LMWPE_biofilm_3 MaxLFQ Intensity	LMWPE_1 MaxLFQ Intensity	LMWPE_2 MaxLFQ Intensity	LMWPE_3 MaxLFQ Intensity	Indistinguishable Proteins
AtRMS-02_contig_1_101	AtRMS-02_contig_1_101 rank: C; TetR/AcrR family transcriptional regulator, mexJK operon transcriptional repressor (db=kegg)	AtRMS-02_contig_1_101 rank: C; TetR/AcrR family transcriptional regulator, mexJK operon transcriptional repressor (db=kegg)	NA	204	NA	NA	AtRMS-02_contig_1_101 rank: C; TetR/AcrR family transcriptional regulator, mexJK operon transcriptional repressor (db=kegg)	1	0.999	9	70	70	70	4	6	5	13	13	8	6	11	4	4	6	5	13	13	8	6	11	4	4	6	5	13	13	8	6	11	4	59506.22	81077.62	79458.95	188214.42	162451.97	170633.48	103056.61	125193.42	79234.97	29147.143	34129.52	42336.305	52981.08	51231.96	72333.9	39582.66	44372.62	36673.184	NA
AtRMS-02_contig_1_1010	AtRMS-02_contig_1_1010 rank: E	AtRMS-02_contig_1_1010 rank: E	NA	547	NA	NA	AtRMS-02_contig_1_1010 rank: E	1	0.999	31	941	941	941	82	102	81	138	114	125	91	98	67	82	102	81	138	114	125	91	98	67	82	102	81	138	114	125	91	98	67	2625955.2	2983577.2	2722527	6592885	6211756	6464211	2791727.2	2893861.2	2321436.2	368810.47	423993.06	476041.1	775200.5	720948.7	856600.06	374612.38	377264.1	322142.03	NA
AtRMS-02_contig_1_1011	AtRMS-02_contig_1_1011 rank: C; ribonuclease HI / DNA polymerase III subunit epsilon [EC:3.1.26.4 2.7.7.7] (db=kegg)	AtRMS-02_contig_1_1011 rank: C; ribonuclease HI / DNA polymerase III subunit epsilon [EC:3.1.26.4 2.7.7.7] (db=kegg)	NA	501	NA	NA	AtRMS-02_contig_1_1011 rank: C; ribonuclease HI / DNA polymerase III subunit epsilon [EC:3.1.26.4 2.7.7.7] (db=kegg)	1	0.999	25	380	380	380	40	56	36	31	38	48	47	47	37	40	56	36	31	38	48	47	47	37	40	56	36	31	38	48	47	47	37	879074.06	1152262.5	739044.2	870703.4	976960.1	1053146.2	1019474	944342.4	750670.1	141665.11	166664.83	170790.66	121469.69	127266.46	166304.23	138346.22	134297.55	113586.09	NA
AtRMS-02_contig_1_1012	AtRMS-02_contig_1_1012 rank: C; peptidoglycan lytic transglycosylase D [EC:4.2.2.29] (db=kegg)	AtRMS-02_contig_1_1012 rank: C; peptidoglycan lytic transglycosylase D [EC:4.2.2.29] (db=kegg)	NA	1089	NA	NA	AtRMS-02_contig_1_1012 rank: C; peptidoglycan lytic transglycosylase D [EC:4.2.2.29] (db=kegg)	1	0.999	65	1984	1984	1984	89	98	102	173	210	213	142	126	143	89	98	102	173	210	213	142	126	143	89	98	102	173	210	213	142	126	143	1301888.9	1335075.5	1411709.8	6841192	8268037.5	8296179	2375287.2	2489877.5	2689187.2	67391.2	69845.98	77119	287504.53	338286.03	338808.3	109813.5	115356.266	122205.86	NA
AtRMS-02_contig_1_1013	AtRMS-02_contig_1_1013 rank: C; microcin C transport system substrate-binding protein (db=kegg)	AtRMS-02_contig_1_1013 rank: C; microcin C transport system substrate-binding protein (db=kegg)	NA	615	NA	NA	AtRMS-02_contig_1_1013 rank: C; microcin C transport system substrate-binding protein (db=kegg)	1	0.999	30	601	601	601	49	45	46	40	59	51	74	59	64	49	45	46	40	59	51	74	59	64	49	45	46	40	59	51	74	59	64	766302.9	700149.1	766166.06	559786.5	992995.5	1083679.5	1488175.1	1479616	1451978.2	62246.82	60490.15	63504.367	56924.59	70260.91	79743.12	97496.984	98143.65	99846.98	NA
AtRMS-02_contig_1_1014	AtRMS-02_contig_1_1014 rank: C; microcin C transport system permease protein (db=kegg)	AtRMS-02_contig_1_1014 rank: C; microcin C transport system permease protein (db=kegg)	NA	356	NA	NA	AtRMS-02_contig_1_1014 rank: C; microcin C transport system permease protein (db=kegg)	1	0.999	4	19	19	19	0	1	0	2	5	3	2	3	2	0	1	0	2	5	3	2	3	2	0	1	0	2	5	3	2	3	2	0	0	0	30777.178	47326.61	39591.39	39482.984	39364.84	38866.273	0	0	0	14017.368	18597.182	15750.12	36842.633	37093.363	36049.152	NA
AtRMS-02_contig_1_1015	AtRMS-02_contig_1_1015 rank: C; microcin C transport system permease protein (db=kegg)	AtRMS-02_contig_1_1015 rank: C; microcin C transport system permease protein (db=kegg)	NA	336	NA	NA	AtRMS-02_contig_1_1015 rank: C; microcin C transport system permease protein (db=kegg)	0.9778	0.999	2	7	7	7	1	0	2	0	0	1	2	1	0	1	0	2	0	0	1	2	1	0	1	0	2	0	0	1	2	1	0	13192.701	0	22650.785	0	0	13034.378	25272.633	18603.473	0	0	0	0	0	0	0	0	0	0	NA
AtRMS-02_contig_1_1016	AtRMS-02_contig_1_1016 rank: C; peptide/nickel transport system ATP-binding protein (db=kegg)	AtRMS-02_contig_1_1016 rank: C; peptide/nickel transport system ATP-binding protein (db=kegg)	NA	532	NA	NA	AtRMS-02_contig_1_1016 rank: C; peptide/nickel transport system ATP-binding protein (db=kegg)	1	0.999	21	346	346	346	29	24	26	41	41	41	44	48	49	29	24	26	41	41	41	44	48	49	29	24	26	41	41	41	44	48	49	320168.1	292647.78	272256.25	643736.9	648900.9	711757.56	786580.25	730483.4	669209.5	51251.176	50365.254	45541.21	74543.84	73198.14	89863.25	90340.164	88335.695	81450.56	NA
AtRMS-02_contig_1_1017	AtRMS-02_contig_1_1017 rank: D; NADH:flavin oxidoreductase / NADH oxidase family [PF00724.26] (db=pfam)	AtRMS-02_contig_1_1017 rank: D; NADH:flavin oxidoreductase / NADH oxidase family [PF00724.26] (db=pfam)	NA	414	NA	NA	AtRMS-02_contig_1_1017 rank: D; NADH:flavin oxidoreductase / NADH oxidase family [PF00724.26] (db=pfam)	1	0.999	30	1406	1406	1406	49	63	75	181	158	160	169	179	170	49	63	75	181	158	160	169	179	170	49	63	75	181	158	160	169	179	170	1098990.9	1439827.4	1247182.5	10465193	10717262	10321782	6824733	6379577.5	6353684	146271.02	171498.23	157115.3	877979.2	864924.56	955604.7	750486.3	697279.9	668628.44	NA
AtRMS-02_contig_1_1019	AtRMS-02_contig_1_1019 rank: C; S-methylmethionine transporter (db=kegg)	AtRMS-02_contig_1_1019 rank: C; S-methylmethionine transporter (db=kegg)	NA	472	NA	NA	AtRMS-02_contig_1_1019 rank: C; S-methylmethionine transporter (db=kegg)	1	0.999	3	7	7	7	0	0	0	0	0	0	2	2	2	0	0	0	0	0	0	2	2	2	0	0	0	0	0	0	2	2	2	0	0	0	0	0	0	22988.379	11090.651	8557.45	0	0	0	0	0	0	0	0	0	NA
AtRMS-02_contig_1_102	AtRMS-02_contig_1_102 rank: C; phosphoenolpyruvate carboxylase [EC:4.1.1.31] (db=kegg)	AtRMS-02_contig_1_102 rank: C; phosphoenolpyruvate carboxylase [EC:4.1.1.31] (db=kegg)	NA	894	NA	NA	AtRMS-02_contig_1_102 rank: C; phosphoenolpyruvate carboxylase [EC:4.1.1.31] (db=kegg)	1	0.999	62	1410	1410	1410	153	159	151	122	110	133	185	175	143	153	159	151	122	110	133	185	175	143	153	159	151	122	110	133	185	175	143	4680109	5165077.5	4786442	5560568.5	5464128.5	5991209	5603748.5	5578277	4765603.5	453208.6	480232.12	455920.56	356965.53	358035.5	372992.7	523896.34	536628.56	486794.62	NA
AtRMS-02_contig_1_1020	AtRMS-02_contig_1_1020 rank: E	AtRMS-02_contig_1_1020 rank: E	NA	52	NA	NA	AtRMS-02_contig_1_1020 rank: E	0.9778	0.999	1	25	25	25	2	2	1	3	4	2	2	2	3	2	2	1	3	4	2	2	2	3	2	2	1	3	4	2	2	2	3	28987.262	27575.18	36458.297	15765.622	19923.81	19223.303	31855.043	34214.945	25769.758	0	0	0	0	0	0	0	0	0	NA
AtRMS-02_contig_1_1021	AtRMS-02_contig_1_1021 rank: C; ribonuclease T [EC:3.1.13.-] (db=kegg)	AtRMS-02_contig_1_1021 rank: C; ribonuclease T [EC:3.1.13.-] (db=kegg)	NA	216	NA	NA	AtRMS-02_contig_1_1021 rank: C; ribonuclease T [EC:3.1.13.-] (db=kegg)	1	0.999	10	143	143	143	11	16	12	20	22	19	17	14	12	11	16	12	20	22	19	17	14	12	11	16	12	20	22	19	17	14	12	287313.66	337160	284142.44	403829.2	364378.44	387368.97	237463.4	283406.56	331654.4	67097.95	74803.055	71285.734	73301.28	62786.76	84647.66	54524.008	67714.31	63007.797	NA
AtRMS-02_contig_1_1022	AtRMS-02_contig_1_1022 rank: D; nan (db=pfam)	AtRMS-02_contig_1_1022 rank: D; nan (db=pfam)	NA	344	NA	NA	AtRMS-02_contig_1_1022 rank: D; nan (db=pfam)	1	0.999	30	1469	1469	1469	119	108	94	84	80	90	110	136	138	119	108	94	84	80	90	110	136	138	119	108	94	84	80	90	110	136	138	2857480.8	3011556	3103440.8	2883296.8	3159716	3415984.2	3386111.8	3327057.2	3251961.5	369566.1	385142.03	407273.25	391972.34	364509.03	402366.66	448394.62	495207.3	385008.16	NA
AtRMS-02_contig_1_1023	AtRMS-02_contig_1_1023 rank: D; Diguanylate cyclase, GGDEF domain [PF00990.26] (db=pfam)	AtRMS-02_contig_1_1023 rank: D; Diguanylate cyclase, GGDEF domain [PF00990.26] (db=pfam)	NA	425	NA	NA	AtRMS-02_contig_1_1023 rank: D; Diguanylate cyclase, GGDEF domain [PF00990.26] (db=pfam)	1	0.999	7	40	40	40	1	0	1	5	7	9	5	5	1	1	0	1	5	7	9	5	5	1	1	0	1	5	7	9	5	5	1	0	0	0	66617.766	129250.6	178225.08	115422.625	60019.74	33096.086	0	0	0	75108.125	54741.12	75735.61	31590.03	25413.451	0	NA
AtRMS-02_contig_1_1024	AtRMS-02_contig_1_1024 rank: C; argininosuccinate synthase [EC:6.3.4.5] (db=kegg)	AtRMS-02_contig_1_1024 rank: C; argininosuccinate synthase [EC:6.3.4.5] (db=kegg)	NA	447	NA	NA	AtRMS-02_contig_1_1024 rank: C; argininosuccinate synthase [EC:6.3.4.5] (db=kegg)	1	0.999	44	2512	2512	2512	294	293	249	246	249	227	273	281	277	294	293	249	246	249	227	273	281	277	294	293	249	246	249	227	273	281	277	13168938	14397136	12803858	16273310	16295325	14810696	12844844	13200083	13643365	1285511.1	1329199.5	1361552	1301258.8	1270786.4	1307049.6	1139283.8	1140914.5	1197028	NA
AtRMS-02_contig_1_1025	AtRMS-02_contig_1_1025 rank: C; 2,4-dienoyl-CoA reductase (NADPH2) [EC:1.3.1.34] (db=kegg)	AtRMS-02_contig_1_1025 rank: C; 2,4-dienoyl-CoA reductase (NADPH2) [EC:1.3.1.34] (db=kegg)	NA	677	NA	NA	AtRMS-02_contig_1_1025 rank: C; 2,4-dienoyl-CoA reductase (NADPH2) [EC:1.3.1.34] (db=kegg)	1	0.999	47	1234	1234	1251	69	74	65	135	133	126	210	174	176	69	74	65	135	133	126	210	174	176	70	75	66	137	136	128	210	174	177	1298035.9	1352587	1582401.4	5286932.5	5723598.5	6139297	7273686	6980890.5	9239006	212896.38	218812.34	243569.67	648386.44	674239	736030.75	774991.9	778594.56	722400.4	NA
AtRMS-02_contig_1_1032	AtRMS-02_contig_1_1032 rank: C; phosphoribosylformylglycinamidine synthase [EC:6.3.5.3] (db=kegg)	AtRMS-02_contig_1_1032 rank: C; phosphoribosylformylglycinamidine synthase [EC:6.3.5.3] (db=kegg)	NA	1278	NA	NA	AtRMS-02_contig_1_1032 rank: C; phosphoribosylformylglycinamidine synthase [EC:6.3.5.3] (db=kegg)	1	0.999	92	5453	5453	5453	474	452	399	245	304	248	443	423	395	474	452	399	245	304	248	443	423	395	474	452	399	245	304	248	443	423	395	17637632	18097720	16095342	10574152	11743496	11392209	15872753	16025994	15979350	879383.3	885214.75	817631.56	530030.8	569148.6	544089.44	737973.2	749179.56	793527.1	NA
AtRMS-02_contig_1_1034	AtRMS-02_contig_1_1034 rank: C; erythronate-4-phosphate dehydrogenase [EC:1.1.1.290] (db=kegg)	AtRMS-02_contig_1_1034 rank: C; erythronate-4-phosphate dehydrogenase [EC:1.1.1.290] (db=kegg)	NA	355	NA	NA	AtRMS-02_contig_1_1034 rank: C; erythronate-4-phosphate dehydrogenase [EC:1.1.1.290] (db=kegg)	1	0.999	12	340	340	340	35	36	24	23	22	26	48	43	35	35	36	24	23	22	26	48	43	35	35	36	24	23	22	26	48	43	35	617205.5	652136.6	555460.9	1166434.1	508385.84	585569.1	806650.06	789557.5	631327.6	131687.42	145340.17	140791.16	122551.49	119163.23	154320.83	158139.23	151144.36	137388.12	NA
AtRMS-02_contig_1_1035	AtRMS-02_contig_1_1035 rank: C; elongation factor P--(R)-beta-lysine ligase [EC:6.3.1.-] (db=kegg)	AtRMS-02_contig_1_1035 rank: C; elongation factor P--(R)-beta-lysine ligase [EC:6.3.1.-] (db=kegg)	NA	326	NA	NA	AtRMS-02_contig_1_1035 rank: C; elongation factor P--(R)-beta-lysine ligase [EC:6.3.1.-] (db=kegg)	1	0.999	15	245	245	245	31	35	25	23	25	31	20	25	24	31	35	25	23	25	31	20	25	24	31	35	25	23	25	31	20	25	24	592759.75	740749.2	659329.5	709536.1	573540	653594.6	425606.12	507470.6	439959.7	146592.7	160613.9	147070.06	136316.22	129930.29	137913.03	133657.5	123490.29	118288.31	NA
AtRMS-02_contig_1_1036	AtRMS-02_contig_1_1036 rank: C; tRNA nucleotidyltransferase (CCA-adding enzyme) [EC:2.7.7.72 3.1.3.- 3.1.4.-] (db=kegg)	AtRMS-02_contig_1_1036 rank: C; tRNA nucleotidyltransferase (CCA-adding enzyme) [EC:2.7.7.72 3.1.3.- 3.1.4.-] (db=kegg)	NA	411	NA	NA	AtRMS-02_contig_1_1036 rank: C; tRNA nucleotidyltransferase (CCA-adding enzyme) [EC:2.7.7.72 3.1.3.- 3.1.4.-] (db=kegg)	1	0.999	21	222	222	222	20	19	18	29	30	26	23	26	30	20	19	18	29	30	26	23	26	30	20	19	18	29	30	26	23	26	30	388400.53	427264.25	406031.7	474831.1	789034.75	565532.5	711483.4	800591.9	692885.3	72801.81	74260.22	94780.484	81178.76	80851.125	83576.72	97812.516	112180.91	103974.09	NA
AtRMS-02_contig_1_1037	AtRMS-02_contig_1_1037 rank: C; malate dehydrogenase (oxaloacetate-decarboxylating)(NADP+) [EC:1.1.1.40] (db=kegg)	AtRMS-02_contig_1_1037 rank: C; malate dehydrogenase (oxaloacetate-decarboxylating)(NADP+) [EC:1.1.1.40] (db=kegg)	NA	759	NA	NA	AtRMS-02_contig_1_1037 rank: C; malate dehydrogenase (oxaloacetate-decarboxylating)(NADP+) [EC:1.1.1.40] (db=kegg)	1	0.999	60	4482	4482	4482	355	375	390	319	334	346	415	382	396	355	375	390	319	334	346	415	382	396	355	375	390	319	334	346	415	382	396	22021010	23591738	22746450	21747202	22361244	20792860	25077662	24909762	25070358	1513328.4	1525856	1487738.9	1308433.5	1354784	1471556.1	1469906.8	1394894	1453550.2	NA
AtRMS-02_contig_1_1038	AtRMS-02_contig_1_1038 rank: D; EAL domain [PF00563.25]; Diguanylate cyclase, GGDEF domain [PF00990.26]; PAS fold [PF08448.16]; PAS fold [PF08447.18] (db=pfam)	AtRMS-02_contig_1_1038 rank: D; EAL domain [PF00563.25]; Diguanylate cyclase, GGDEF domain [PF00990.26]; PAS fold [PF08448.16]; PAS fold [PF08447.18] (db=pfam)	NA	958	NA	NA	AtRMS-02_contig_1_1038 rank: D; EAL domain [PF00563.25]; Diguanylate cyclase, GGDEF domain [PF00990.26]; PAS fold [PF08448.16]; PAS fold [PF08447.18] (db=pfam)	1	0.999	34	405	405	405	30	28	31	48	56	76	36	32	28	30	28	31	48	56	76	36	32	28	30	28	31	48	56	76	36	32	28	522464.34	574574.1	541029.6	1280041.4	1451267.5	1504002.5	521262.4	525204.9	444955	89915.25	89071.945	101175.47	129576.98	141440.9	149518.4	78333.98	82300.41	69402.71	NA
AtRMS-02_contig_1_1039	AtRMS-02_contig_1_1039 rank: C; 16S rRNA (uracil1498-N3)-methyltransferase [EC:2.1.1.193] (db=kegg)	AtRMS-02_contig_1_1039 rank: C; 16S rRNA (uracil1498-N3)-methyltransferase [EC:2.1.1.193] (db=kegg)	NA	238	NA	NA	AtRMS-02_contig_1_1039 rank: C; 16S rRNA (uracil1498-N3)-methyltransferase [EC:2.1.1.193] (db=kegg)	1	0.999	14	163	163	163	17	14	19	14	19	13	25	22	19	17	14	19	14	19	13	25	22	19	17	14	19	14	19	13	25	22	19	475914.8	508118.56	522988.34	484821.38	536978.7	403518.1	637297.06	597379.25	569151.1	133147.3	140705.7	138669.06	120601.7	118940.945	126534.95	143626.61	128948.516	120978.46	NA
AtRMS-02_contig_1_104	AtRMS-02_contig_1_104 rank: C; putative pyrimidine permease RutG (db=kegg)	AtRMS-02_contig_1_104 rank: C; putative pyrimidine permease RutG (db=kegg)	NA	432	NA	NA	AtRMS-02_contig_1_104 rank: C; putative pyrimidine permease RutG (db=kegg)	1	0.999	2	79	79	79	9	11	11	10	9	9	3	8	3	9	11	11	10	9	9	3	8	3	9	11	11	10	9	9	3	8	3	114743.61	92451.35	156227.3	170873.45	171741.64	272728.7	60838.15	55057.47	56334.97	66548.01	38808.04	60437.49	62378.594	65705.195	113869.336	66927.15	60384.402	62006.61	NA
